samples,es,D6,D14,D16,D18,D24,D25,D28,D34,D36,D42,D48,D54
1,155,0.108233703,0.374744228,0.039946607,0.380220588,0.094849383,22.07,0.251444196,1.053060715,0.106390759,0.584428318,0.305023908,0.302292611
2,160,0.107210359,0.396092138,0.046923492,0.410384266,0.094096339,21.67,0.268564807,1.022932255,0.11863616,0.596446324,0.321822308,0.300702499
3,180,0.106142886,0.416923678,0.052374368,0.431072263,0.093215741,21.27,0.284811226,0.972824975,0.126660817,0.608396692,0.33806673,0.299052576
4,548,0.190916694,0.325303259,0.057799658,0.310993981,0.069898888,33.45,0.1030052,0.482951996,0.075060056,0.116285015,0.229193996,0.520131889
5,842,0.18561882,0.411347269,0.061320597,0.505151362,0.098543178,31.32,0.183644005,0.600449027,0.07535957,0.516237059,0.251816703,0.480891572
6,635,0.195179394,0.350861626,0.021958748,0.428065832,0.151780712,25.6,0.150776595,0.863336658,0.073483927,0.473471494,0.360820012,0.374263507
7,752.8,0.185775708,0.495219773,0.059747611,0.514939211,0.094481173,29.21666673,0.226061337,0.705184132,0.086722214,0.503032347,0.318445665,0.450801261
8,620,0.194629561,0.457679989,0.058965829,0.540452778,0.064999975,30.5,0.19994082,0.635847241,0.091864002,0.210926667,0.324567556,0.480725175
9,368,0.157788069,0.38024988,0.015175246,0.465932747,0.151590065,25.1,0.189458673,0.813839415,0.053958502,0.422466511,0.281792163,0.35289968
10,398,0.158256706,0.433288717,0.050622163,0.500102034,0.147461187,26.85116284,0.210763534,0.840937383,0.060247142,0.417887025,0.289869039,0.326958783
11,614,0.157954076,0.4632261,0.061015061,0.508989395,0.144849485,27.88888886,0.221829443,0.835789179,0.06305459,0.41466909,0.293986688,0.311670173
12,673,0.157318754,0.489878555,0.068170526,0.512043972,0.142347941,28.83829785,0.231054461,0.823449445,0.065135204,0.411367137,0.2972986,0.297843125
13,814,0.180951264,0.409488658,0.043443869,0.477896359,0.142620154,27.33333339,0.160691977,0.776952326,0.072119306,0.441652063,0.339525097,0.39359612
14,855,0.198741902,0.431405921,0.04543624,0.52271328,0.15156897,27.44,0.168299656,0.854282143,0.077982141,0.4882357,0.376288038,0.393386074
15,584,0.199209629,0.310256046,0.062469197,0.331124587,0.090290937,31.51818185,0.066644188,0.633826271,0.075695969,0.094115132,0.284312725,0.45623674
16,240,0.109913001,0.483644758,0.061882395,0.470663605,0.160226668,26.4222222,0.23123179,0.853379746,0.053789436,0.58844966,0.215058132,0.257100174
17,350,0.032333549,0.522007049,0.048155221,0.447891001,0.104870188,26.075,0.239735737,0.362996977,0.048842519,0.633502263,0.202523147,0.334171083
18,505,0.045758266,0.538198242,0.054182152,0.457902562,0.107087697,26.678125,0.24622509,0.514229917,0.051907077,0.628716012,0.210341742,0.324206344
19,490,0.055363392,0.554270398,0.0592181,0.465295329,0.109021669,27.28125,0.252403147,0.599240807,0.054586477,0.623770871,0.217728212,0.314138164
20,646,0.069176094,0.586120065,0.067202113,0.473825022,0.112119974,28.4875,0.263865228,0.68628079,0.059006661,0.613377799,0.231318352,0.293727936
21,237,0.078696113,0.526021803,0.056715403,0.537775342,0.087950153,22.545,0.295157463,0.994541323,0.116721607,0.459609106,0.315514591,0.308804808
22,708,0.143158009,0.203216285,0.023350698,0.325505473,0.108182765,28.5333333,0.168129365,0.622091447,0.053800582,0.710912766,0.16560033,0.447091935
23,723,0.146716701,0.319177779,0.035941992,0.372296988,0.109415338,29.21212121,0.173317534,0.610152566,0.052036136,0.66566706,0.158196127,0.447424902
24,807,0.148078656,0.349269873,0.040434053,0.396730281,0.10943359,29.60000003,0.174585654,0.60222116,0.050929134,0.639688739,0.153771084,0.447608327
25,782,0.148870048,0.36525862,0.04349116,0.417279783,0.109052183,29.94594592,0.174801099,0.59438264,0.049876972,0.61643102,0.149693565,0.447767824
26,786,0.149280502,0.375704194,0.046471702,0.442548358,0.108000152,30.4,0.173879553,0.58288078,0.048397007,0.585742506,0.144137515,0.44797142
27,590,0.14368556,0.299650846,0.020389655,0.326913655,0.103803756,26.075,0.199735497,0.751889681,0.064452279,0.617801894,0.254607793,0.397598046
28,931,0.140440775,0.346115602,0.048118861,0.358359883,0.112959568,27.49411766,0.213668976,0.741433286,0.067568596,0.603219938,0.271004434,0.37305679
29,195,0.081330099,0.450793755,0.046681893,0.516495238,0.122270829,25.6,0.175271282,0.450197533,0.06065357,0.493299272,0.304804876,0.321974063
30,139,0.026937068,0.261439801,0.025359384,0.306179865,0.161706784,21.65238095,0.28386309,0.809594683,0.090890994,0.663416857,0.18970771,0.269670133
