Alloy,Al,Cr,V,Ti,Mo,Si,Nb,Zr,Ta,Hf,W,es,reference
Al10Mo10Nb20Ti40V20,0.1,0,0.2,0.4,0.1,0,0.2,0,0,0,0,155,Materials Science & Engineering A 755 (2019) 318ÿ322
Al15Mo10Nb20Ti35V20,0.15,0,0.2,0.35,0.1,0,0.2,0,0,0,0,160,Materials Science & Engineering A 755 (2019) 318ÿ322
Al20Mo10Nb20Ti30V20,0.2,0,0.2,0.3,0.1,0,0.2,0,0,0,0,180,Materials Science & Engineering A 755 (2019) 318ÿ322
MoNbTaW,0,0,0,0,0.25,0,0.25,0,0.25,0,0.25,548,Intermetallics 19 (2011) 698-706
MoNbTaVW,0,0,0.2,0,0.2,0,0.2,0,0.2,0,0.2,842,Intermetallics 19 (2011) 698-706
HfMoNbTiZr,0,0,0,0.2,0.2,0,0.2,0.2,0,0.2,0,635,Materials and Design 81 (2015) 87-94
MoNbTaTiVW,0,0,0.166666667,0.166666667,0.166666667,0,0.166666667,0,0.166666667,0,0.166666667,752.8,Intermetallics 84 (2017) 153-157
MoNbTaTiW,0,0,0,0.2,0.2,0,0.2,0,0.2,0,0.2,620,Intermetallics 84 (2017) 153-157
HfMo0.5NbTiV0.5,0,0,0.125,0.25,0.125,0,0.25,0,0,0.25,0,368,Journal of Alloys and Compounds 694 (2017) 869-876
HfMo0.5NbSi0.3TiV0.5,0,0,0.11627907,0.23255814,0.11627907,0.069767442,0.23255814,0,0,0.23255814,0,398,Journal of Alloys and Compounds 694 (2017) 869-876
HfMo0.5NbSi0.5TiV0.5,0,0,0.111111111,0.222222222,0.111111111,0.111111111,0.222222222,0,0,0.222222222,0,614,Journal of Alloys and Compounds 694 (2017) 869-876
HfMo0.5NbSi0.7TiV0.5,0,0,0.106382979,0.212765957,0.106382979,0.14893617,0.212765957,0,0,0.212765957,0,673,Journal of Alloys and Compounds 694 (2017) 869-876
HfMoNbTaTiZr,0,0,0,0.166666667,0.166666667,0,0.166666667,0.166666667,0.166666667,0.166666667,0,814,"Intermetallics, 2015, 62: 76-83."
HfMoTaTiZr,0,0,0,0.2,0.2,0,0,0.2,0.2,0.2,0,855,"Intermetallics, 2015, 62: 76-83."
Hf0.25NbTaW0.5,0,0,0,0,0,0,0.363636364,0,0.363636364,0.090909091,0.181818182,584,Journal of Materials Science & Technology 97 (2022) 229ÿ238
