samples es D5 D6 D14 D16 D18 D24 D25 D30 D34 D36 D39 D44 D48 D52
1 155 1.639 0.108233703 0.374744228 0.039946607 0.380220588 0.094849383 22.07 0.231778014 1.053060715 0.106390759 3.9652 0.743387088 0.305023908 0.481081628
2 160 1.6425 0.107210359 0.396092138 0.046923492 0.410384266 0.094096339 21.67 0.249317109 1.022932255 0.11863616 3.6723 0.690505594 0.321822308 0.496866152
3 180 1.646 0.106142886 0.416923678 0.052374368 0.431072263 0.093215741 21.27 0.265824186 0.972824975 0.126660817 3.3794 0.638609398 0.33806673 0.512335199
4 548 1.905 0.190916694 0.325303259 0.057799658 0.310993981 0.069898888 33.45 0.096443294 0.482951996 0.075060056 10.6625 0.31878716 0.229193996 0.54149404
5 842 1.85 0.18561882 0.411347269 0.061320597 0.505151362 0.098543178 31.32 0.165308676 0.600449027 0.07535957 9.546 0.316763503 0.251816703 0.561117479
6 635 1.586 0.195179394 0.350861626 0.021958748 0.428065832 0.151780712 25.6 0.138662019 0.863336658 0.073483927 22.8048 0.822790276 0.360820012 0.659776906
7 752.8 1.798333337 0.185775708 0.495219773 0.059747611 0.514939211 0.094481173 29.21666673 0.20785067 0.705184132 0.086722214 8.970000018 0.512628148 0.318445665 0.598726264
8 620 1.832 0.194629561 0.457679989 0.058965829 0.540452778 0.064999975 30.5 0.188744995 0.635847241 0.091864002 9.748 0.553026302 0.324567556 0.605716552
9 368 1.58375 0.157788069 0.38024988 0.015175246 0.465932747 0.151590065 25.1 0.1660198 0.813839415 0.053958502 28.77 0.942644193 0.281792163 0.531181282
10 398 1.605813957 0.158256706 0.433288717 0.050622163 0.500102034 0.147461187 26.85116284 0.174717205 0.840937383 0.060247142 26.77472098 0.941730148 0.289869039 0.549679745
11 614 1.618888887 0.157954076 0.4632261 0.061015061 0.508989395 0.144849485 27.88888886 0.179120614 0.835789179 0.06305459 25.59233331 0.924177314 0.293986688 0.559828676
12 673 1.630851062 0.157318754 0.489878555 0.068170526 0.512043972 0.142347941 28.83829785 0.182673414 0.823449445 0.065135204 24.51057442 0.902314008 0.2972986 0.568572371
13 814 1.57166667 0.180951264 0.409488658 0.043443869 0.477896359 0.142620154 27.33333339 0.153910977 0.776952326 0.072119306 22.43733338 0.789787081 0.339525097 0.573848582
14 855 1.566 0.198741902 0.431405921 0.04543624 0.52271328 0.15156897 27.44 0.159182844 0.854282143 0.077982141 26.6948 0.844876862 0.376288038 0.630767905
15 584 1.674545456 0.199209629 0.310256046 0.062469197 0.331124587 0.090290937 31.51818185 0.082830689 0.633826271 0.075695969 20.69090911 0.537343611 0.284312725 0.563658168
16 240 1.559999998 0.109913001 0.483644758 0.061882395 0.470663605 0.160226668 26.4222222 0.181905691 0.853379746 0.053789436 25.86788886 0.956117511 0.215058132 0.314645964
17 350 1.5675 0.032333549 0.522007049 0.048155221 0.447891001 0.104870188 26.075 0.214768462 0.362996977 0.048842519 8.23 0.656371095 0.202523147 0.255046718
18 505 1.5758125 0.045758266 0.538198242 0.054182152 0.457902562 0.107087697 26.678125 0.217710237 0.514229917 0.051907077 8.028525 0.687519702 0.210341742 0.272087277
19 490 1.584125 0.055363392 0.554270398 0.0592181 0.465295329 0.109021669 27.28125 0.220468974 0.599240807 0.054586477 7.82705 0.707651458 0.217728212 0.288100409
20 646 1.60075 0.069176094 0.586120065 0.067202113 0.473825022 0.112119974 28.4875 0.225436845 0.68628079 0.059006661 7.4241 0.72612931 0.231318352 0.317619766
21 237 1.5907 0.078696113 0.526021803 0.056715403 0.537775342 0.087950153 22.545 0.275310835 0.994541323 0.116721607 7.0413 0.64801157 0.315514591 0.397445358
22 708 1.796666665 0.143158009 0.203216285 0.023350698 0.325505473 0.108182765 28.5333333 0.142393149 0.622091447 0.053800582 2.94333333 0.209814667 0.16560033 0.539007734
